股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600639,浦东金桥,13.67,-0.82,-5.66%,7.05%,9974388,138714235.03,1.17%,9.454,3.658%,15343384247
SH603171,税友股份,29.03,-2.13,-6.84%,-17.53%,4670072,138493947.1,11.51%,51.058,1.033%,11782986700
SH601198,东兴证券,8.9,-0.1,-1.11%,-23.47%,15431621,138451431.97,0.56%,19.877,1.63%,28768765128
SH600970,中材国际,7.99,-0.44,-5.22%,-30.1%,16979897,138004280.08,0.97%,10,2.879%,18102400191
SH600692,亚通股份,6.48,-0.72,-10%,10.58%,20479455,137462672.02,8.03%,49.976,,2279431135
SH600550,保变电气,4.54,-0.32,-6.58%,-18.78%,29374811,137372180.41,1.6%,192.597,,8360539299
SH603719,良品铺子,26.93,-1.62,-5.67%,-36.59%,4994129,136748692.83,2.23%,38.357,0.787%,10798930000
SH603682,锦和商业,5.62,-0.62,-9.94%,-7.57%,23450600,136723822,13.06%,21.404,,2655450000
SH600898,ST美讯,8.96,+0.43,+5.04%,73.31%,15858467,136668413.66,6.28%,,,2557013635
SH600066,宇通客车,7.53,-0.22,-2.84%,-31.67%,17869437,136558711.82,0.81%,27.762,6.64%,17039872109
SH600749,西藏旅游,11.82,-1.09,-8.44%,17.03%,11241601,136508916.73,4.95%,,,2682732411
SH603398,沐邦高科,21.8,-0.62,-2.77%,10.21%,6202860,136505361,1.81%,208.575,0.266%,7469432253
SH601991,大唐发电,2.25,-0.1,-4.26%,-30.56%,59326822,136289899.73,0.48%,,,41640098634
SH600682,南京新百,9.93,-0.57,-5.43%,-15.56%,13554879,136171733.09,1.16%,13.007,0.201%,13367092955
SH600724,宁波富达,4.27,-0.25,-5.53%,16.35%,31221982,136137554.89,2.16%,17.114,5.855%,6171179373
SH603968,醋化股份,17.3,-0.12,-0.69%,-7.44%,7978500,135884441,3.9%,20.324,2.89%,3537504000
SH600221,*ST海航,1.68,-0.05,-2.89%,-9.68%,80067805,135820942.19,0.24%,,,55847894353
SH603737,三棵树,75.36,-1.68,-2.18%,-45.84%,1760353,135408759.47,0.47%,117.768,0.54%,28368328945
SH600297,广汇汽车,2.23,-0.07,-3.04%,-16.48%,59908242,135288471.24,0.74%,9.878,,18087668715
SH605338,巴比食品,31.71,-1.89,-5.63%,-8.98%,4189282,135151349.78,4.86%,25.049,0.82%,7864080000
SH603650,彤程新材,28.2,-1.77,-5.91%,-43.96%,4644383,134970517.97,0.78%,51.564,0.319%,16839820350
